InvoiceNo,InvoiceDate,CompanyName,NIP,ProductName,Category,Quantity,UnitPrice,Discount,Country,SalesRep
INV 4352,22.07.25,Firma Hurtowa 017,,Base One Clear 5kg,Żele,dziesięć,128.02,0,Polska,Anna Nowak
INV 5719,05-02-2025,Firma Hurtowa 032,6882074066,Cuticle Oil Mango,Pielęgnacja,,67.48,10%,PL,Anna Nowak
INV 4334,01-03-2025,Firma Hurtowa 014,,Cleaner UV,Akcesoria,,"120,00",10%,PL,Jan Kowalski
INV 10393,05.08.25,Firma Hurtowa 036,,Base One Pink 5kg,Żele,dziesięć,"120,00",10%,PL,Jan Kowalski
INV 1233,20-12-2025,Firma Hurtowa 020,,Cleaner UV,Akcesoria,36,91.66,0.1,PL,J. Kowalski
INV 3442,2025-12-16,Firma Hurtowa 032,,Cleaner UV,Akcesoria,,152.4,0.05,PL,Anna Nowak
INV 5443,2025-07-30,Firma Hurtowa 086,,Base One Pink 5kg,Żele,45,82.68,,Polska,J. Kowalski
INV 5001,27.04.25,Firma Hurtowa 029,9691572571,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",0.1,poland,J. Kowalski
INV 453,01.03.25,Firma Hurtowa 034,2140169349,Cleaner UV,Akcesoria,dziesięć,"120,00",,PL,Nowak Anna
INV 9447,08-04-2025,Firma Hurtowa 033,,Base One Clear 5kg,,,140.5,0.1,poland,J. Kowalski
INV 10210,10.06.25,Firma Hurtowa 085,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",,PL,Anna Nowak
INV 6889,07-12-2025,Firma Hurtowa 049,,Cleaner UV,Akcesoria,dziesięć,114.11,0.1,poland,J. Kowalski
INV 7619,15.08.25,Firma Hurtowa 057,,Cuticle Oil Mango,Pielęgnacja,48,"120,00",10%,Polska,Jan Kowalski
INV 3849,11-12-2025,Firma Hurtowa 040,1855256552,Base One Clear 5kg,Żele,dziesięć,126.14,,poland,Anna Nowak
INV 11770,2025-12-23,Firma Hurtowa 050,7418301077,Base One Pink 5kg,Żele,,11.05,,poland,Nowak Anna
INV 823,13.10.25,Firma Hurtowa 032,5816198518,Cuticle Oil Mango,Pielęgnacja,,"120,00",,poland,Nowak Anna
INV 8977,17-08-2025,Firma Hurtowa 021,,Base One Pink 5kg,Żele,dziesięć,"120,00",0.05,poland,J. Kowalski
INV 3842,20-05-2025,Firma Hurtowa 043,3319936135,Base One Pink 5kg,Żele,dziesięć,141.85,0,poland,Nowak Anna
INV 6813,2025-02-01,Firma Hurtowa 027,,Cleaner UV,Akcesoria,45,"120,00",,Polska,Nowak Anna
INV 6866,03.10.25,Firma Hurtowa 096,,Base One Pink 5kg,Żele,dziesięć,"120,00",0.1,Polska,Anna Nowak
INV 7658,07-03-2025,Firma Hurtowa 080,,Cleaner UV,Akcesoria,,"120,00",0.05,Polska,Nowak Anna
INV 5364,2025-04-19,Firma Hurtowa 059,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,57.93,,PL,J. Kowalski
INV 3674,29-11-2025,Firma Hurtowa 009,3799264931,Base One Pink 5kg,Żele,13,128.05,0.05,poland,Anna Nowak
INV 7620,2025-12-25,Firma Hurtowa 033,8588769565,Cleaner UV,Akcesoria,,146.49,0.1,Polska,Nowak Anna
INV 6499,12.04.25,Firma Hurtowa 010,,Flexy Hybrid Gel,Lakiery Hybrydowe,,163.05,0.1,Polska,Jan Kowalski
INV 8290,28.11.25,Firma Hurtowa 044,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0.05,poland,J. Kowalski
INV 10092,03-10-2025,Firma Hurtowa 100,,Primer Acid,Akcesoria,dziesięć,71.24,0,PL,Nowak Anna
INV 9337,09-11-2025,Firma Hurtowa 086,6922713963,Cuticle Oil Mango,Pielęgnacja,21,"120,00",0.1,poland,J. Kowalski
INV 9107,06.01.25,Firma Hurtowa 067,5071897791,Base One Pink 5kg,Żele,dziesięć,102.83,,Polska,Jan Kowalski
INV 1525,31.05.25,Firma Hurtowa 029,,Cleaner UV,Akcesoria,dziesięć,"120,00",,Polska,Nowak Anna
INV 4439,2025-06-06,Firma Hurtowa 033,,Base One Pink 5kg,Żele,21,151.15,0.05,Polska,J. Kowalski
INV 1648,2025-04-10,Firma Hurtowa 038,6272000062,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0,poland,Anna Nowak
INV 10451,09-09-2025,Firma Hurtowa 014,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,93.69,0,Polska,Jan Kowalski
INV 1071,2025-07-25,Firma Hurtowa 063,,Primer Acid,Akcesoria,4,"120,00",0,Polska,Anna Nowak
INV 8562,14.07.25,Firma Hurtowa 058,,Cleaner UV,,dziesięć,118.04,10%,PL,Anna Nowak
INV 4336,05-12-2025,Firma Hurtowa 011,1674555072,Cleaner UV,Akcesoria,5,"120,00",10%,PL,J. Kowalski
INV 11583,2025-05-25,Firma Hurtowa 090,8986950095,Primer Acid,Akcesoria,dziesięć,159.69,,poland,Anna Nowak
INV 4353,14-03-2025,Firma Hurtowa 010,,Cleaner UV,Akcesoria,,"120,00",0,poland,Nowak Anna
INV 4461,2025-09-14,Firma Hurtowa 070,7415801613,Cleaner UV,Akcesoria,dziesięć,"120,00",0,poland,Jan Kowalski
INV 11015,18-05-2025,Firma Hurtowa 074,,Cleaner UV,Akcesoria,dziesięć,184.05,10%,Polska,Jan Kowalski
INV 7701,28.06.25,Firma Hurtowa 053,,Base One Clear 5kg,Żele,dziesięć,"120,00",0.1,poland,Jan Kowalski
INV 7452,2025-02-15,Firma Hurtowa 041,6379012098,Cuticle Oil Mango,Pielęgnacja,33,"120,00",,Polska,Nowak Anna
INV 10247,2025-08-15,Firma Hurtowa 098,,Cleaner UV,Akcesoria,dziesięć,"120,00",0,poland,Anna Nowak
INV 11630,2025-03-23,Firma Hurtowa 040,,Cuticle Oil Mango,Pielęgnacja,6,198.53,,PL,Nowak Anna
INV 11741,2025-05-30,Firma Hurtowa 066,,Cuticle Oil Mango,Pielęgnacja,31,96.79,,poland,Anna Nowak
INV 1144,22-05-2025,Firma Hurtowa 099,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0.05,Polska,J. Kowalski
INV 9043,06-10-2025,Firma Hurtowa 049,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",,poland,Anna Nowak
INV 8116,19-01-2025,Firma Hurtowa 017,7829772942,Cuticle Oil Mango,Pielęgnacja,,182.98,0.05,PL,Jan Kowalski
INV 7693,2025-05-16,Firma Hurtowa 044,,Primer Acid,Akcesoria,dziesięć,175.75,10%,poland,J. Kowalski
INV 3728,2025-02-16,Firma Hurtowa 056,,Primer Acid,Akcesoria,dziesięć,"120,00",0,PL,J. Kowalski
INV 5874,2025-07-11,Firma Hurtowa 056,,Cuticle Oil Mango,Pielęgnacja,,160.58,0.05,Polska,Anna Nowak
INV 8154,26.10.25,Firma Hurtowa 019,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0.1,PL,Nowak Anna
INV 5662,28-10-2025,Firma Hurtowa 039,,Base One Pink 5kg,Żele,dziesięć,"120,00",10%,poland,J. Kowalski
INV 360,2025-12-04,Firma Hurtowa 051,,Primer Acid,Akcesoria,,"120,00",0.1,Polska,Anna Nowak
INV 10431,08-04-2025,Firma Hurtowa 080,,Base One Clear 5kg,Żele,dziesięć,149.15,0.1,PL,Anna Nowak
INV 2166,04-10-2025,Firma Hurtowa 047,9218363978,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0,PL,Anna Nowak
INV 11081,12.12.25,Firma Hurtowa 051,,Base One Clear 5kg,Żele,,"120,00",0.1,poland,J. Kowalski
INV 1776,12.12.25,Firma Hurtowa 030,,Cleaner UV,Akcesoria,,52.06,,Polska,Jan Kowalski
INV 2291,24-01-2025,Firma Hurtowa 005,3115806625,Base One Pink 5kg,Żele,35,"120,00",10%,poland,Anna Nowak
INV 6798,02-12-2025,Firma Hurtowa 013,,Cuticle Oil Mango,Pielęgnacja,18,141.15,,Polska,Jan Kowalski
INV 11235,08.07.25,Firma Hurtowa 070,8064477344,Cuticle Oil Mango,Pielęgnacja,18,"120,00",0,poland,Jan Kowalski
INV 829,20-06-2025,Firma Hurtowa 032,,Base One Pink 5kg,Żele,,49.36,0.05,poland,Jan Kowalski
INV 4543,16.03.25,Firma Hurtowa 017,7615175036,Base One Clear 5kg,Żele,43,"120,00",0.05,PL,J. Kowalski
INV 859,2025-03-06,Firma Hurtowa 095,,Flexy Hybrid Gel,Lakiery Hybrydowe,,30.72,10%,poland,J. Kowalski
INV 7505,26-11-2025,Firma Hurtowa 004,,Base One Clear 5kg,Żele,,182.84,0,PL,Anna Nowak
INV 4506,16.11.25,Firma Hurtowa 082,,Cleaner UV,Akcesoria,dziesięć,"120,00",0,poland,Anna Nowak
INV 7047,20.08.25,Firma Hurtowa 030,,Cuticle Oil Mango,Pielęgnacja,,"120,00",0.1,PL,Nowak Anna
INV 1100,16.02.25,Firma Hurtowa 011,5695387521,Primer Acid,Akcesoria,dziesięć,164.24,10%,poland,Jan Kowalski
INV 6731,2025-07-01,Firma Hurtowa 086,6636925105,Cleaner UV,Akcesoria,33,"120,00",0.05,poland,J. Kowalski
INV 1883,23-05-2025,Firma Hurtowa 074,,Primer Acid,Akcesoria,dziesięć,"120,00",0.1,PL,Anna Nowak
INV 9279,03-12-2025,Firma Hurtowa 052,,Primer Acid,Akcesoria,2,151.76,,PL,J. Kowalski
INV 5106,16-06-2025,Firma Hurtowa 100,3560761628,Base One Pink 5kg,Żele,,19.45,0.1,Polska,Nowak Anna
INV 6786,20.05.25,Firma Hurtowa 028,,Base One Clear 5kg,Żele,,"120,00",10%,PL,Nowak Anna
INV 9820,29-01-2025,Firma Hurtowa 001,6172957943,Base One Pink 5kg,Żele,dziesięć,64.99,0,PL,Anna Nowak
INV 6230,30.09.25,Firma Hurtowa 091,,Primer Acid,Akcesoria,dziesięć,13.56,0.1,Polska,Nowak Anna
INV 4744,28-02-2025,Firma Hurtowa 052,,Cuticle Oil Mango,Pielęgnacja,dziesięć,26.74,0.05,poland,Jan Kowalski
INV 6485,08-06-2025,Firma Hurtowa 096,,Base One Pink 5kg,Żele,,130.31,0.1,poland,Anna Nowak
INV 3872,22.02.25,Firma Hurtowa 019,2099375147,Cleaner UV,Akcesoria,,"120,00",,Polska,J. Kowalski
INV 10277,11.06.25,Firma Hurtowa 020,,Cuticle Oil Mango,,dziesięć,161.3,0.1,Polska,Nowak Anna
INV 617,30.01.25,Firma Hurtowa 048,8867077130,Primer Acid,Akcesoria,,"120,00",,poland,Jan Kowalski
INV 7369,20-10-2025,Firma Hurtowa 084,,Cuticle Oil Mango,Pielęgnacja,33,"120,00",0,PL,Anna Nowak
INV 642,2025-05-07,Firma Hurtowa 091,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,157.15,0.1,poland,Nowak Anna
INV 4656,2025-05-10,Firma Hurtowa 093,5940815822,Cleaner UV,Akcesoria,43,"120,00",,PL,J. Kowalski
INV 9158,12.07.25,Firma Hurtowa 083,8695129534,Primer Acid,Akcesoria,,199.46,,Polska,J. Kowalski
INV 2954,20.04.25,Firma Hurtowa 044,3088517710,Base One Pink 5kg,Żele,10,66.2,10%,poland,Jan Kowalski
INV 10846,2025-06-22,Firma Hurtowa 099,,Cuticle Oil Mango,Pielęgnacja,10,44.36,,poland,Anna Nowak
INV 7278,09-11-2025,Firma Hurtowa 037,8661364201,Cleaner UV,Akcesoria,dziesięć,"120,00",0.05,poland,Nowak Anna
INV 7565,25-05-2025,Firma Hurtowa 100,7560389844,Base One Pink 5kg,Żele,39,175.87,,PL,Jan Kowalski
INV 4671,12-02-2025,Firma Hurtowa 098,,Cleaner UV,Akcesoria,dziesięć,27.43,,Polska,Jan Kowalski
INV 6496,2025-09-15,Firma Hurtowa 048,6307626407,Flexy Hybrid Gel,Lakiery Hybrydowe,15,70.55,0.1,Polska,Nowak Anna
INV 11405,13.03.25,Firma Hurtowa 098,,Cleaner UV,Akcesoria,1,13.61,0.05,poland,Nowak Anna
INV 1822,2025-05-28,Firma Hurtowa 031,2293434554,Base One Pink 5kg,Żele,,"120,00",0,Polska,Jan Kowalski
INV 10354,21.09.25,Firma Hurtowa 074,,Base One Clear 5kg,Żele,dziesięć,"120,00",0.05,poland,J. Kowalski
INV 1109,27.09.25,Firma Hurtowa 070,,Cuticle Oil Mango,,,"120,00",0.1,PL,J. Kowalski
INV 3951,03.12.25,Firma Hurtowa 081,8544878538,Base One Clear 5kg,Żele,,74.32,,PL,Anna Nowak
INV 1034,23-08-2025,Firma Hurtowa 005,2260326267,Base One Pink 5kg,Żele,dziesięć,"120,00",10%,poland,Anna Nowak
INV 4688,02-07-2025,Firma Hurtowa 100,,Base One Clear 5kg,Żele,dziesięć,"120,00",,Polska,Nowak Anna
INV 6019,23-09-2025,Firma Hurtowa 035,,Cuticle Oil Mango,Pielęgnacja,dziesięć,124.47,10%,PL,J. Kowalski
INV 10829,01-06-2025,Firma Hurtowa 040,8377306021,Primer Acid,Akcesoria,dziesięć,"120,00",10%,PL,Jan Kowalski
INV 10997,2025-11-23,Firma Hurtowa 052,3918046336,Base One Pink 5kg,Żele,,158.45,0.05,poland,J. Kowalski
INV 5934,2025-07-16,Firma Hurtowa 073,9729028480,Primer Acid,Akcesoria,dziesięć,80.68,10%,Polska,J. Kowalski
INV 10643,23-05-2025,Firma Hurtowa 032,5125402225,Primer Acid,Akcesoria,dziesięć,108.37,0.1,PL,J. Kowalski
INV 11371,09.09.25,Firma Hurtowa 026,1526723719,Cuticle Oil Mango,Pielęgnacja,,94.57,0.1,PL,J. Kowalski
INV 4915,22.03.25,Firma Hurtowa 092,1963110410,Base One Pink 5kg,Żele,dziesięć,"120,00",,PL,Jan Kowalski
INV 5068,23-07-2025,Firma Hurtowa 092,,Cuticle Oil Mango,Pielęgnacja,dziesięć,166.43,0.05,Polska,Nowak Anna
INV 11143,2025-09-22,Firma Hurtowa 045,3524521602,Cuticle Oil Mango,Pielęgnacja,33,167.96,0.1,poland,Anna Nowak
INV 5670,23.09.25,Firma Hurtowa 037,,Base One Pink 5kg,,,"120,00",10%,poland,Anna Nowak
INV 9697,25-10-2025,Firma Hurtowa 020,4709911999,Base One Clear 5kg,Żele,,60.28,10%,PL,Nowak Anna
INV 10276,07-10-2025,Firma Hurtowa 038,6592451645,Primer Acid,Akcesoria,dziesięć,96.17,0.05,Polska,Anna Nowak
INV 5574,2025-11-07,Firma Hurtowa 019,,Flexy Hybrid Gel,Lakiery Hybrydowe,26,154.53,0.1,Polska,Nowak Anna
INV 4062,14.03.25,Firma Hurtowa 013,,Cleaner UV,Akcesoria,27,192.91,0.1,PL,Anna Nowak
INV 8164,21.09.25,Firma Hurtowa 060,6620138568,Base One Clear 5kg,Żele,,96.87,0.05,PL,J. Kowalski
INV 8109,02-11-2025,Firma Hurtowa 084,,Cleaner UV,Akcesoria,1,"120,00",0.1,Polska,Jan Kowalski
INV 9344,2025-10-15,Firma Hurtowa 025,,Cleaner UV,Akcesoria,,63.15,0.05,Polska,J. Kowalski
INV 2364,12.04.25,Firma Hurtowa 078,,Base One Clear 5kg,Żele,3,"120,00",,poland,Anna Nowak
INV 5374,10-11-2025,Firma Hurtowa 041,,Primer Acid,Akcesoria,,"120,00",10%,PL,J. Kowalski
INV 5428,11.12.25,Firma Hurtowa 015,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0.1,poland,Anna Nowak
INV 11820,27.01.25,Firma Hurtowa 075,,Primer Acid,Akcesoria,,"120,00",0.05,poland,Jan Kowalski
INV 3126,10.01.25,Firma Hurtowa 057,6642266247,Cuticle Oil Mango,Pielęgnacja,45,"120,00",0,PL,J. Kowalski
INV 10850,02-09-2025,Firma Hurtowa 068,6913417379,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",10%,PL,J. Kowalski
INV 9144,02-06-2025,Firma Hurtowa 029,,Primer Acid,Akcesoria,,"120,00",,poland,J. Kowalski
INV 4716,04-03-2025,Firma Hurtowa 074,,Base One Pink 5kg,Żele,19,64.65,0.1,poland,Nowak Anna
INV 3506,2025-04-14,Firma Hurtowa 069,2166605339,Cleaner UV,Akcesoria,,55.46,10%,PL,Jan Kowalski
INV 6772,19.06.25,Firma Hurtowa 092,,Base One Pink 5kg,Żele,,195.8,,Polska,Nowak Anna
INV 10659,2025-04-13,Firma Hurtowa 097,,Flexy Hybrid Gel,Lakiery Hybrydowe,42,182.51,10%,poland,Jan Kowalski
INV 2869,02.08.25,Firma Hurtowa 023,,Base One Pink 5kg,Żele,dziesięć,176.58,0.1,Polska,J. Kowalski
INV 7445,2025-11-25,Firma Hurtowa 070,7546898241,Cleaner UV,Akcesoria,dziesięć,46.63,0.1,poland,J. Kowalski
INV 11774,06.04.25,Firma Hurtowa 002,,Cleaner UV,Akcesoria,44,"120,00",,Polska,Jan Kowalski
INV 3028,13.03.25,Firma Hurtowa 062,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",0.1,PL,J. Kowalski
INV 10710,04.07.25,Firma Hurtowa 089,,Base One Clear 5kg,Żele,dziesięć,"120,00",0,Polska,J. Kowalski
INV 10071,24.04.25,Firma Hurtowa 029,,Base One Pink 5kg,Żele,,"120,00",,Polska,Anna Nowak
INV 4055,15.12.25,Firma Hurtowa 097,,Cuticle Oil Mango,Pielęgnacja,,78.74,0,PL,Anna Nowak
INV 2696,17-06-2025,Firma Hurtowa 067,,Base One Pink 5kg,Żele,,"120,00",0,Polska,Nowak Anna
INV 9240,2025-01-30,Firma Hurtowa 072,,Base One Clear 5kg,,dziesięć,165.13,10%,Polska,Jan Kowalski
INV 8867,31-01-2025,Firma Hurtowa 009,,Cuticle Oil Mango,Pielęgnacja,12,"120,00",0.1,Polska,Nowak Anna
INV 1315,2025-12-16,Firma Hurtowa 085,8989870040,Base One Pink 5kg,Żele,dziesięć,110.48,0,Polska,Nowak Anna
INV 8716,14.07.25,Firma Hurtowa 030,,Base One Pink 5kg,Żele,18,188.11,0,PL,Anna Nowak
INV 3377,04-02-2025,Firma Hurtowa 013,,Cleaner UV,Akcesoria,,175.72,0,poland,Anna Nowak
INV 925,13-03-2025,Firma Hurtowa 065,9561946187,Primer Acid,Akcesoria,dziesięć,"120,00",0.05,poland,Anna Nowak
INV 6776,03-06-2025,Firma Hurtowa 036,,Primer Acid,Akcesoria,,"120,00",0,poland,Nowak Anna
INV 8593,2025-06-13,Firma Hurtowa 090,7083067988,Flexy Hybrid Gel,Lakiery Hybrydowe,25,"120,00",0.05,poland,Anna Nowak
INV 7587,30-01-2025,Firma Hurtowa 072,,Base One Pink 5kg,,17,72.75,,poland,Anna Nowak
INV 845,2025-05-18,Firma Hurtowa 049,3589530484,Base One Pink 5kg,Żele,,147.62,,Polska,J. Kowalski
INV 252,19-04-2025,Firma Hurtowa 025,6173344564,Cleaner UV,Akcesoria,dziesięć,"120,00",0.1,Polska,Nowak Anna
INV 1616,2025-08-29,Firma Hurtowa 098,8901585274,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,18.69,0.05,poland,Nowak Anna
INV 4837,20-03-2025,Firma Hurtowa 026,,Cleaner UV,Akcesoria,dziesięć,"120,00",0.1,poland,Nowak Anna
INV 7551,2025-03-28,Firma Hurtowa 094,8709361138,Base One Pink 5kg,Żele,,102.78,10%,PL,Jan Kowalski
INV 105,31.07.25,Firma Hurtowa 018,,Base One Pink 5kg,Żele,1,"120,00",0,poland,Nowak Anna
INV 10802,07-09-2025,Firma Hurtowa 003,,Cuticle Oil Mango,,1,"120,00",10%,poland,Nowak Anna
INV 2938,24-02-2025,Firma Hurtowa 013,3252218154,Base One Pink 5kg,,,"120,00",0.1,Polska,Nowak Anna
INV 9257,05-05-2025,Firma Hurtowa 090,,Base One Clear 5kg,Żele,,154.32,,Polska,Jan Kowalski
INV 10433,2025-01-05,Firma Hurtowa 090,,Cuticle Oil Mango,Pielęgnacja,dziesięć,117.51,10%,poland,Nowak Anna
INV 4442,24-01-2025,Firma Hurtowa 010,3826557688,Flexy Hybrid Gel,Lakiery Hybrydowe,2,"120,00",0,PL,Nowak Anna
INV 11093,2025-10-04,Firma Hurtowa 043,,Primer Acid,Akcesoria,,"120,00",0,PL,J. Kowalski
INV 9916,11-11-2025,Firma Hurtowa 077,8617360361,Primer Acid,Akcesoria,dziesięć,"120,00",10%,poland,Nowak Anna
INV 1405,13-11-2025,Firma Hurtowa 038,,Base One Clear 5kg,Żele,dziesięć,39.3,,PL,Jan Kowalski
INV 5051,2025-08-16,Firma Hurtowa 047,8564925592,Base One Pink 5kg,,6,"120,00",0,poland,Jan Kowalski
INV 9781,03.11.25,Firma Hurtowa 042,9004608615,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,158.04,10%,Polska,Anna Nowak
INV 2275,2025-05-18,Firma Hurtowa 039,6447765697,Base One Clear 5kg,Żele,dziesięć,"120,00",,PL,Nowak Anna
INV 9729,12-11-2025,Firma Hurtowa 026,2966500767,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0.1,poland,Anna Nowak
INV 4923,2025-06-14,Firma Hurtowa 078,,Base One Pink 5kg,Żele,dziesięć,"120,00",10%,Polska,Nowak Anna
INV 5981,28.02.25,Firma Hurtowa 073,,Base One Pink 5kg,Żele,dziesięć,167.94,,poland,J. Kowalski
INV 3966,2025-05-10,Firma Hurtowa 085,,Cleaner UV,Akcesoria,,"120,00",10%,Polska,Jan Kowalski
INV 1792,08-05-2025,Firma Hurtowa 085,8149805821,Primer Acid,Akcesoria,40,"120,00",0.1,PL,J. Kowalski
INV 3638,2025-09-19,Firma Hurtowa 096,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,156.75,0.1,Polska,Nowak Anna
INV 1407,2025-03-01,Firma Hurtowa 094,,Flexy Hybrid Gel,Lakiery Hybrydowe,30,"120,00",,poland,Nowak Anna
INV 5226,04.02.25,Firma Hurtowa 039,4052772528,Flexy Hybrid Gel,Lakiery Hybrydowe,42,138.66,0.05,PL,J. Kowalski
INV 9173,07.08.25,Firma Hurtowa 060,,Primer Acid,Akcesoria,dziesięć,15.55,,PL,Anna Nowak
INV 3372,2025-05-23,Firma Hurtowa 097,,Base One Clear 5kg,Żele,35,79.5,,Polska,J. Kowalski
INV 9781,18.07.25,Firma Hurtowa 079,,Cuticle Oil Mango,,40,"120,00",10%,PL,J. Kowalski
INV 1932,03-05-2025,Firma Hurtowa 040,,Primer Acid,Akcesoria,,83.81,10%,Polska,Anna Nowak
INV 9092,27-03-2025,Firma Hurtowa 063,2240535933,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0,Polska,Nowak Anna
INV 6704,2025-12-17,Firma Hurtowa 063,,Base One Pink 5kg,Żele,,15.86,0.1,poland,J. Kowalski
INV 2756,2025-08-23,Firma Hurtowa 073,,Cleaner UV,Akcesoria,,"120,00",10%,Polska,Anna Nowak
INV 6966,2025-02-22,Firma Hurtowa 095,,Base One Clear 5kg,Żele,dziesięć,76.23,,PL,Anna Nowak
INV 9633,19-12-2025,Firma Hurtowa 045,,Base One Pink 5kg,Żele,14,"120,00",10%,PL,J. Kowalski
INV 11536,30-05-2025,Firma Hurtowa 038,,Primer Acid,Akcesoria,7,"120,00",0,PL,Anna Nowak
INV 4091,2025-03-16,Firma Hurtowa 092,6981604165,Cleaner UV,Akcesoria,dziesięć,"120,00",,PL,Nowak Anna
INV 8448,23.05.25,Firma Hurtowa 089,,Flexy Hybrid Gel,Lakiery Hybrydowe,38,175.09,,Polska,Jan Kowalski
INV 8757,23.07.25,Firma Hurtowa 028,9453047901,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",10%,Polska,J. Kowalski
INV 11183,25.01.25,Firma Hurtowa 006,2973888646,Base One Pink 5kg,Żele,dziesięć,"120,00",0.05,poland,J. Kowalski
INV 2605,21-05-2025,Firma Hurtowa 012,,Base One Clear 5kg,Żele,,181.72,0,poland,Anna Nowak
INV 7033,02.12.25,Firma Hurtowa 012,4022360089,Base One Pink 5kg,Żele,31,35.21,10%,PL,J. Kowalski
INV 1976,05-08-2025,Firma Hurtowa 089,5862655247,Base One Pink 5kg,Żele,25,148.85,0,Polska,Anna Nowak
INV 6271,10.03.25,Firma Hurtowa 083,,Cleaner UV,Akcesoria,,"120,00",0.1,poland,Anna Nowak
INV 6746,12-11-2025,Firma Hurtowa 088,1933058809,Base One Pink 5kg,Żele,49,"120,00",0.1,PL,Anna Nowak
INV 4538,27.11.25,Firma Hurtowa 011,9056616444,Cleaner UV,,,"120,00",0.1,PL,Nowak Anna
INV 6323,27.02.25,Firma Hurtowa 031,,Base One Clear 5kg,Żele,dziesięć,"120,00",0.1,Polska,Jan Kowalski
INV 274,28.10.25,Firma Hurtowa 009,5354209613,Base One Clear 5kg,Żele,dziesięć,"120,00",,poland,Anna Nowak
INV 4547,12.02.25,Firma Hurtowa 040,9929329605,Base One Pink 5kg,Żele,dziesięć,84.24,0.1,PL,Jan Kowalski
